127.0.0.1 - - [08/Sep/2020:21:20:36 -0300] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [08/Sep/2020:21:20:47 -0300] "GET /admin/cliente/lista HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [08/Sep/2020:21:20:47 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [08/Sep/2020:21:20:56 -0300] "GET /admin/livro/novo HTTP/1.1" 200 4746
0:0:0:0:0:0:0:1 - - [08/Sep/2020:21:20:57 -0300] "GET /admin/css/styles.css HTTP/1.1" 200 186658
0:0:0:0:0:0:0:1 - - [08/Sep/2020:21:20:57 -0300] "GET /admin/assets/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [08/Sep/2020:21:21:00 -0300] "POST /admin/livro/novo HTTP/1.1" 500 1066
0:0:0:0:0:0:0:1 - - [08/Sep/2020:21:22:55 -0300] "GET /admin/livro/novo HTTP/1.1" 200 4746
0:0:0:0:0:0:0:1 - - [08/Sep/2020:21:22:57 -0300] "POST /admin/livro/novo HTTP/1.1" 200 5834
0:0:0:0:0:0:0:1 - - [08/Sep/2020:21:29:02 -0300] "GET /admin/livro/novo HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [08/Sep/2020:21:29:08 -0300] "POST /admin/livro/novo HTTP/1.1" 200 5584
0:0:0:0:0:0:0:1 - - [08/Sep/2020:21:29:32 -0300] "GET /admin/livro/novo HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [08/Sep/2020:21:29:36 -0300] "POST /admin/livro/novo HTTP/1.1" 200 5591
0:0:0:0:0:0:0:1 - - [08/Sep/2020:21:29:39 -0300] "POST /admin/livro/novo HTTP/1.1" 200 5325
0:0:0:0:0:0:0:1 - - [08/Sep/2020:21:29:42 -0300] "POST /admin/livro/novo HTTP/1.1" 200 5051
